ModelAircraftName,ModelVariantName,ManufacturerName,Country,YearEnd
Blohm & Voss Ta 154,A-57,Beechcraft,USA,2024
Embraer E-Jet E2,B-96,Sikorsky Aircraft,USA,2024
Phoenix Guardian,A-18,Saab,USA,2024
Blaze Breaker,B-81,Yakolev,USA,2024
Gryphon V,Max-65,Sukhoi,USA,2024
Rutan VariEze,ER-39,Learjet,USA,2024
Piper PA-30 Cub,Mk.I-80,Continental Motors,USA,2024
AeroApex,Neo-43,Short Brothers,USA,2024
NovaEagle,B-60,Eve,USA,2024
KC-135 Stratotanker,B-90,Zodiac Aerospace,USA,2024
Douglas DC-3 Skytrain,B-32,CFM International,USA,2024
AeroZenith 200,LR-95,Hawker,USA,2024
Glacier Glider,Max-4,Dornier,USA,2024
Sopwith Camel,Max-4,ZPL-Swidnik,USA,2024
X-15,B-90,EADS,USA,2024
Dassault Rafale M,Mk.I-94,Fairchild,USA,2024
F-27 Lancer,LR-14,GE Aviation,USA,2024
AeroVortex 9,Mk.I-72,Mooney,USA,2024
Zephyr-3,100-96,Mooney,USA,2024
Mirage 12,ER-28,Eve,USA,2024
Nimbus 7A,Mk.I-94,Lycoming,USA,2024
Saab J29 Tunnan,B-23,Sikorsky Aircraft,USA,2024
Piper PA-18 Super Cub,Mk.I-31,Alenia Aeronautica,USA,2024
North American B-25 Mitchell,ER-88,Mooney,USA,2024
Nebula Hawk VII,Neo-85,Hawker,USA,2024
Boeing 737 Classic,100-72,Mooney,USA,2024
Cessna Citation XLS+,200-19,Dornier,USA,2024
Henschel Hs 129,Mk.I-94,Westland Aircraft,USA,2024
AeroFusion,B-49,Sukhoi,USA,2024
AeroRift 6,Neo-68,Fokker,USA,2024
Eurocopter EC-135,Neo-3,Kalinin,USA,2024
Nebula Orion,A-6,Gloster,USA,2024
AeroVibe 45,A-40,Saunders-Roe,USA,2024
F-25 Sabre,100-36,Cessna,USA,2024
CloudBreaker,ER-97,Tempest Aero,USA,2024
Glacier Wing,B-9,Sukhoi,USA,2024
Kawanishi N1K,200-12,Sparrow Aircraft,USA,2024
Skyward Innovations SkyWard-9,LR-87,CFM International,USA,2024
Mooney M20 Mongoose,100-33,Britten-Norman,USA,2024
RadiantSkies 8,B-98,Handley Page,USA,2024
